reference_number,gazetted_name,local_name,waterbody_id,reach_number,site_number,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,haul_number_pass_number,ef_seconds,ef_length_m,ef_width_m,enclosure,voltage,frequency,pulse,make,model,gill_net_type,length_m,depth_m,mesh_size,set,date_in,time_in,date_out,time_out,soak_time,habitat,species,stage,age,total_number,min_length_mm,max_length_mm,fish_activity,comments
13,Gramophone Creek,58067_ds_ef1,0,0,13,,,,electrofishing,1,1,171,15.9,3.28,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,1,50,50,,
13,Gramophone Creek,58067_ds_ef1,0,0,13,,,,electrofishing,1,1,171,15.9,3.28,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,2,100,102,,
13,Gramophone Creek,58067_ds_ef1,0,0,13,,,,electrofishing,1,1,171,15.9,3.28,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,juvenile,,2,123,123,,
13,Gramophone Creek,58067_ds_ef1,0,0,13,,,,electrofishing,1,1,171,15.9,3.28,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,adult,,2,144,170,,
14,Gramophone Creek,58067_ds_ef2,0,0,14,,,,electrofishing,1,1,158,24,3.56,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,3,90,101,,
14,Gramophone Creek,58067_ds_ef2,0,0,14,,,,electrofishing,1,1,158,24,3.56,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,juvenile,,1,115,115,,
14,Gramophone Creek,58067_ds_ef2,0,0,14,,,,electrofishing,1,1,158,24,3.56,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,adult,,2,141,179,,
15,Gramophone Creek,58067_ds_ef3,0,0,15,,,,electrofishing,1,1,166,25.2,3.5,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,1,43,43,,
15,Gramophone Creek,58067_ds_ef3,0,0,15,,,,electrofishing,1,1,166,25.2,3.5,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,1,87,87,,
15,Gramophone Creek,58067_ds_ef3,0,0,15,,,,electrofishing,1,1,166,25.2,3.5,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,juvenile,,2,126,133,,
15,Gramophone Creek,58067_ds_ef3,0,0,15,,,,electrofishing,1,1,166,25.2,3.5,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,adult,,1,151,151,,
16,Gramophone Creek,58067_ds_ef4,0,0,16,,,,electrofishing,1,1,232,32.2,3.4,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,1,40,40,,
16,Gramophone Creek,58067_ds_ef4,0,0,16,,,,electrofishing,1,1,232,32.2,3.4,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,1,76,76,,
16,Gramophone Creek,58067_ds_ef4,0,0,16,,,,electrofishing,1,1,232,32.2,3.4,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,juvenile,,1,129,129,,
16,Gramophone Creek,58067_ds_ef4,0,0,16,,,,electrofishing,1,1,232,32.2,3.4,open,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,adult,,1,162,162,,
