reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,sampling_method,method_number,haul_number_pass_number,species,length_mm,weight_g,sex,maturity,age_structure,age_sample_number,age,genetic_structure,genetic_sample_number,comments
13,Gramophone Creek,58067_ds_ef1,00000BULK,0,13,electrofishing,1,1,Rainbow Trout,144,36,,,,,,,,Photo bute
13,Gramophone Creek,58067_ds_ef1,00000BULK,0,13,electrofishing,1,1,Rainbow Trout,50,2.1,,,,,,,,
13,Gramophone Creek,58067_ds_ef1,00000BULK,0,13,electrofishing,1,1,Rainbow Trout,102,17,,,,,,,,
13,Gramophone Creek,58067_ds_ef1,00000BULK,0,13,electrofishing,1,1,Rainbow Trout,123,24.7,,,,,,,,
13,Gramophone Creek,58067_ds_ef1,00000BULK,0,13,electrofishing,1,1,Rainbow Trout,123,23.1,,,,,,,,
13,Gramophone Creek,58067_ds_ef1,00000BULK,0,13,electrofishing,1,1,Rainbow Trout,100,13.1,,,,,,,,
13,Gramophone Creek,58067_ds_ef1,00000BULK,0,13,electrofishing,1,1,Rainbow Trout,170,56.5,,,,,,,,
14,Gramophone Creek,58067_ds_ef2,00000BULK,0,14,electrofishing,1,1,Rainbow Trout,100,11.6,,,,,,,,Photo MW 11:37
14,Gramophone Creek,58067_ds_ef2,00000BULK,0,14,electrofishing,1,1,Rainbow Trout,101,12.3,,,,,,,,
14,Gramophone Creek,58067_ds_ef2,00000BULK,0,14,electrofishing,1,1,Rainbow Trout,90,8.5,,,,,,,,
14,Gramophone Creek,58067_ds_ef2,00000BULK,0,14,electrofishing,1,1,Rainbow Trout,141,37.3,,,,,,,,
14,Gramophone Creek,58067_ds_ef2,00000BULK,0,14,electrofishing,1,1,Rainbow Trout,115,18,,,,,,,,
14,Gramophone Creek,58067_ds_ef2,00000BULK,0,14,electrofishing,1,1,Rainbow Trout,179,74.2,,,,,,,,
15,Gramophone Creek,58067_ds_ef3,00000BULK,0,15,electrofishing,1,1,Rainbow Trout,133,26.3,,,,,,,,
15,Gramophone Creek,58067_ds_ef3,00000BULK,0,15,electrofishing,1,1,Rainbow Trout,87,7.1,,,,,,,,
15,Gramophone Creek,58067_ds_ef3,00000BULK,0,15,electrofishing,1,1,Rainbow Trout,151,14.2,,,,,,,,
15,Gramophone Creek,58067_ds_ef3,00000BULK,0,15,electrofishing,1,1,Rainbow Trout,43,1.4,,,,,,,,
